,day,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
97,2013-03-14,clear,2,0.0,0.0,24.23,24.23,1.265,690.0,1.575,10.05,11.3
98,2013-03-14,partly cloudy,2,0.0,0.0,32.565,32.565,2.69,330.0,1.15,5.95,6.2
99,2013-03-15,cloudy,1,0.0,0.0,39.83,39.83,1.3,600.0,1.9,7.85,9.85
100,2013-03-15,partly cloudy,6,0.0,0.0,32.346666666666664,29.710000000000004,3.126666666666667,530.0,0.09999999999999999,9.75,11.25
101,2013-03-16,cloudy,11,0.0,0.0,33.32363636363637,27.46,6.495454545454544,616.3636363636364,1.2272727272727273,8.176363636363636,9.47
102,2013-03-18,cloudy,3,0.0015333333333333334,0.18000000000000002,31.813333333333333,30.406666666666666,2.183333333333333,1100.0,8.166666666666666,20.983333333333334,24.36
103,2013-03-19,clear,2,0.0,0.0,26.1,15.46,11.809999999999999,420.0,0.0,6.949999999999999,8.45
104,2013-03-19,cloudy,1,0.0,0.0,20.4,10.1,8.87,1200.0,17.4,35.25,37.25
105,2013-03-19,partly cloudy,1,0.0,0.0,18.31,6.64,10.19,240.0,0.9,5.05,5.05
106,2013-03-20,clear,1,0.0,0.0,15.73,6.57,6.28,1140.0,0.0,13.05,13.05
107,2013-03-21,clear,4,0.0,0.0,22.1875,15.0375,5.4925,435.0,0.3,6.3999999999999995,7.2875
108,2013-03-22,clear,4,0.0,0.0,26.942500000000003,26.942500000000003,1.6575000000000002,585.0,0.8,12.4,12.9
109,2013-03-23,partly cloudy,4,0.0,0.0,33.1725,33.1725,1.715,720.0,4.7749999999999995,14.0,17.737499999999997
110,2013-03-24,cloudy,2,0.0,0.0,32.834999999999994,28.18,4.895,810.0,0.0,11.65,13.4
111,2013-03-25,cloudy,2,0.0,0.0,33.45,26.475,8.24,450.0,0.9,7.35,8.100000000000001
112,2013-03-26,partly cloudy,2,0.0,0.0,38.78,34.95,5.130000000000001,390.0,0.3,7.1499999999999995,7.8999999999999995
113,2013-03-27,cloudy,2,0.0,0.0,35.3,33.485,3.49,330.0,0.7,5.95,7.45
114,2013-03-28,clear,2,0.0,0.0,35.629999999999995,35.629999999999995,1.66,540.0,2.0,7.75,7.75
115,2013-03-29,clear,1,0.0,0.0,51.37,51.37,1.12,420.0,0.0,7.25,9.75
116,2013-03-29,cloudy,1,0.0,0.0,35.54,35.54,0.0,1260.0,17.9,36.04,47.55
