,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon
1166,b7e8d5871c6d0b24d6e9a26f4b628ea9e4c50704,2016-09-23T06:30:00,Overcast,0,0,68.6,69.48,3.14,cloudy
1167,b41c35adf8a2d35a6ff0f974f05ee356ecdd2e70,2015-08-29T09:00:00,Light Rain,0.0314,0.93,64.45,64.9,1.48,rain
1168,b799b1d361cf7318b5e899b7430e5ebb877a7cb4,2013-08-19T11:00:00,Partly Cloudy,0,0,79.85,80.97,1.28,partly-cloudy-day
1169,b7b9dee126f58e9114a8215ccd9c204658fa1035,2015-06-10T02:00:00,Clear,0,0,75.9,76.29,3.83,clear-night
1170,badff7a855c21fadec846709f992580aac4882c3,2014-12-15T12:15:00,Overcast,0,0,45.94,43.43,5.03,cloudy
1171,bb57f5615594e846064f83f5ffe6d45679899897,2014-03-01T10:30:00,Overcast,0,0,21.46,14.84,4.87,cloudy
1172,c30fa4209d4af578c434bcfbccf2279330d66f29,2015-05-09T01:15:00,Overcast,0.0017,0.21,63.93,64.48,0.83,cloudy
1173,b2f56760519c8bf249edd33f635a079c2f47432c,2015-03-08T01:15:00,Clear,0,0,33.64,33.64,2.82,clear-night
1174,b5f0f53a4f494afdf36817ee81eaee1491e7e581,2013-12-17T11:00:00,Mostly Cloudy,0,0,25.44,18.15,6.32,partly-cloudy-day
1175,c074a10b1f70d2cf5f71bb41051d69027fef241f,2017-04-20T06:30:00,Mostly Cloudy,0,0,50.79,50.79,1.62,partly-cloudy-day
1176,b46bf18da82c9e4aef0d220f6ed7201088ce36f7,2013-11-10T10:30:00,Clear,0,0,44.01,41.57,4.48,clear-day
1177,c0fae20caa29041205b1bc5973cfa83c41588524,2016-11-25T01:00:00,Overcast,0,0,36.25,33.93,3.15,cloudy
1178,c15ff4a27cefc4688459f358ea2c55ce6849ae0d,2015-04-26T12:30:00,Clear,0,0,52.42,52.42,5.6,clear-day
1179,b78da468b29125b93d632cb1aa9ab314ce33c648,2016-05-09T08:45:00,Overcast,0.0008,0.12,54.89,54.89,4.61,cloudy
1180,be61b326c6290ff9284bce77b44231f8315333c8,2015-02-17T04:45:00,Overcast,0,0,16.56,11.5,3.2,cloudy
1181,bf5584a5c43178145dd7572eebe201a9bf20c492,2014-05-05T11:45:00,Partly Cloudy,0,0,51.6,51.6,8.98,partly-cloudy-day
1182,b4d906712308621cd3c01685703a287f50c64a46,2016-03-15T06:15:00,Overcast,0,0,47.9,47.9,1.3,cloudy
1183,b50ab5449461b0b2937d9f0c932183100aa6d08a,2015-05-31T07:15:00,Drizzle,0.0051,0.44,44.41,40.9,6.19,rain
1184,b842bf8bc7a1823990b761c43fc44721eadd14e7,2014-06-13T08:30:00,Clear,0,0,60.51,60.51,5.07,clear-day
1185,c0743fef1b760ef11a63b561092723de488139dd,2016-06-30T06:15:00,Clear,0,0,61.43,61.43,0.69,clear-day
1186,bd6547ee5fd4f0c8baa660305e0a2a75af2cee05,2014-10-04T08:00:00,Overcast,0,0,37.25,33.3,4.93,cloudy
1187,bcd6eaa8b0f44d99cb4ce01c174bbdf09c153a64,2013-07-20T11:30:00,Partly Cloudy,0,0,83.05,85.07,1.63,partly-cloudy-day
1188,baa2a11e0c5e779c4d7960f7d6020bbc5efe33d1,2014-11-01T04:30:00,Overcast,0,0,37.69,32.99,6.02,cloudy
1189,bb5bbe02c967c1502043978422416d8836511a43,2017-04-21T10:30:00,Partly Cloudy,0,0,47.88,45.37,5.59,partly-cloudy-day
1190,b9fc48ed43d07923e9b2a92122e3bbf17eaea665,2016-10-27T06:15:00,Overcast,0.0001,0.02,47.37,45.33,4.7,cloudy
1191,b019557f4839388dd0216bfb85165c72f5c3d3fe,2015-07-25T12:45:00,Humid and Mostly Cloudy,0,0,87.53,95.55,2.56,partly-cloudy-day
1192,b5bfc65296a037fdaa781302afc6df432395d400,2014-01-24T12:45:00,Overcast,0,0,17.5,4.17,12.69,cloudy
1193,b7f50b68cf23bf01f4f63ddc37379ac447e8a73c,2015-09-11T12:45:00,Mostly Cloudy,0.0051,0.36,64.11,64.11,5.2,partly-cloudy-day
1194,bbf73593a2121d2904ab07ab7a85d1c6d2d616f6,2013-05-24T04:15:00,Clear,0,0,41.98,39.9,3.69,clear-night
1195,c0abe01ddeee939cd90cffa8509cc4defe59f0c4,2015-03-11T03:00:00,Foggy,0,0,38.71,38.71,1.2,fog
